AbandonQuest 004dfe00
AbandonSkill 004d3ab0
AcceptAreaSpiritHeal 0048df20
AcceptBattlefieldPort 004ab3b0
AcceptDuel 004d4ce0
AcceptGroup 0048aa80
AcceptGuild 0048aae0
AcceptQuest 00501d20
AcceptResurrect 0048a9a0
AcceptSkillUps 004d3d40
AcceptTrade 004c06e0
AcceptXPLoss 0048d0c0
ActionHasRange 004e75d0
AddChatWindowChannel 004a1000
AddChatWindowMessages 004a0e80
AddFriend 005ad290
AddIgnore 005ad5f0
AddOrDelIgnore 005ad5a0
AddQuestWatch 004e1930
AddSkillUp 004d3c30
AddTradeMoney 004c07f0
AppendToFile 00515f90
AssistByName 00489c40
AssistUnit 00489b80
AttackTarget 00489b50
AutoEquipCursorItem 0048a040
BankButtonIDToInvSlotID 004f8530
BeginTrade 0048aa60
BindEnchant 0048d2e0
BuybackItem 004fb950
BuyGuildCharter 004f5260
BuyMerchantItem 004fb850
BuyRandomPicks 004c4400
BuySkillTier 004d3e50
BuyStableSlot 004cb080
BuyTrainerService 004da210
CalculateAuctionDeposit 004ce1c0
CameraOrSelectOrMoveStart 00514190
CameraOrSelectOrMoveStop 005141d0
CameraZoomIn 0050b400
CameraZoomOut 0050b450
CancelAreaSpiritHeal 0048df30
CancelAuction 004d0260
CancelDuel 004d4cf0
CancelLogout 0048ab40
CancelMeetingStoneRequest 004ca5a0
CancelPendingEquip 00489960
CancelPlayerBuff 004e49a0
CancelSkillUps 004d3e30
CancelTrackingBuff 004e4a80
CancelTrade 0048aa70
CancelTradeAccept 004c06f0
CanEditGuildInfo 004d1c40
CanEditMOTD 00000080
CanEditOfficerNote 004d1b60
CanEditPublicNote 000000f0
CanGuildDemote 004d1930
CanGuildInvite 004d19a0
CanGuildPromote 004d18c0
CanGuildRemove 00000010
CanInspect 0048a1b0
CanJoinBattlefieldAsGroup 004ac380
CanMerchantRepair 004fba80
CanSendAuctionQuery 004cfbb0
CanShowResetInstances 0048a720
CanSignPetition 004f45e0
CanViewOfficerNote 004d1bd0
CastPetAction 004be330
CastShapeshiftForm 004b4810
CastSpell 004b42f0
CastSpellByName 004b4ab0
ChangeActionBarPage 004e7650
ChangeChatColor 004a07f0
ChannelBan 004a0770
ChannelInvite 004a0730
ChannelKick 004a0750
ChannelModerate 004a07d0
ChannelModerator 004a06b0
ChannelMute 004a06f0
ChannelToggleAnnouncements 004a07b0
ChannelUnban 004a0790
ChannelUnmoderator 004a06d0
ChannelUnmute 004a0710
CheckBinderDist 0048d210
CheckInbox 004aeab0
CheckInteractDistance 0048ba00
CheckPetUntrainerDist 0048d1c0
CheckReadyCheckTime 004bc120
CheckSpiritHealerDist 0048d120
CheckTalentMasterDist 0048d170
ClearCursor 004895b0
ClearInspectPlayer 004c9780
ClearSendMail 004adee0
ClearTarget 00489ff0
ClearTutorials 004b5a00
ClickAuctionSellItemButton 004ce310
ClickSendMailItemButton 004adef0
ClickStablePet 004cb420
ClickTargetTradeButton 004c0080
ClickTradeButton 004bfdf0
CloseAuctionHouse 004ce160
CloseBankFrame 004f87d0
CloseBattlefield 004ab2f0
CloseCraft 004f6c00
CloseGossip 004e2b20
CloseGuildRegistrar 004f5220
CloseGuildRoster 004d2350
CloseItemText 004e3b70
CloseLoot 004c2ec0
CloseLottery 004c4210
CloseMail 004aded0
CloseMerchant 004fb120
ClosePetition 004f43c0
ClosePetStables 004cae40
CloseQuest 00000010
CloseTabardCreation 004f5900
CloseTaxiMap 004dcce0
CloseTrade 004bfdc0
CloseTradeSkill 004fd7f0
CloseTrainer 004d8d50
CollapseCraftSkillLine 004f7c10
CollapseFactionHeader 004d6a50
CollapseQuestHeader 004e1730
CollapseSkillHeader 004d3b70
CollapseTradeSkillSubClass 005000c0
CollapseTrainerSkillLine 004da6c0
CompleteQuest 00501d70
ConfirmAcceptQuest 005021b0
ConfirmBinder 0048dd00
ConfirmBindOnUse 0048d770
ConfirmLootRoll 004c33e0
ConfirmPetUnlearn 0048dca0
ConfirmReadyCheck 004bc090
ConfirmSummon 0048b770
ConfirmTalentWipe 0048dc40
ConsoleExec 00515f10
ContainerIDToInventoryID 004f94e0
ConvertToRaid 004bbc90
CreateFont 00706040
CreateFrame 007060b0
CreateMacro 004f15b0
CreateMiniWorldMapArrowFrame 004a8c60
CreateWorldMapArrowFrame 004a8bb0
CursorCanGoInSlot 004c8ff0
CursorHasItem 004895d0
CursorHasMoney 00489630
CursorHasSpell 00489600
DeclineGroup 0048aab0
DeclineGuild 0048ab10
DeclineQuest 00501d30
DeclineResurrect 0048a9d0
DeleteCursorItem 004897b0
DeleteFile 00515f70
DeleteGMTicket 0048cb70
DeleteInboxItem 004afcd0
DeleteMacro 004f1850
DelIgnore 005ad640
DemoteAssistant 004bbdf0
DisableAddOn 0048e760
DisableAllAddOns 0048e7f0
DisplayChannelOwner 004a05c0
DoCraft 004f7d10
DoEmote 0049fd30
DoReadyCheck 004bc080
DoTradeSkill 00500280
DropCursorMoney 0048aba0
DropItemOnUnit 0048d960
EditMacro 004f18b0
EnableAddOn 0048e690
EnableAllAddOns 0048e720
EnumerateFrames 00705f60
EnumerateServerChannels 004a1790
EquipCursorItem 00489660
EquipPendingItem 004898f0
ExpandCraftSkillLine 004f7c90
ExpandFactionHeader 004d6aa0
ExpandQuestHeader 004e1780
ExpandSkillHeader 004d3bd0
ExpandTradeSkillSubClass 00500140
ExpandTrainerSkillLine 004da740
FactionToggleAtWar 004d6950
FlagTutorial 004b59b0
FlipCameraYaw 0050b6a0
FollowByName 00489ec0
FollowUnit 00489e00
ForceLogout 0048ab50
ForceQuit 0048ab60
FrameXML_Debug 00488440
GetAbandonQuestItems 004dfbe0
GetAbandonQuestName 004dfb60
GetActionAutocast 004e6f90
GetActionBarToggles 004e7660
GetActionCooldown 004e6ed0
GetActionCount 004e6e70
GetActionText 004e7050
GetActionTexture 004e6e10
GetActiveLevel 00501c20
GetActiveTitle 00501b30
GetAddOnDependencies 0048e5e0
GetAddOnInfo 0048e390
GetAddOnMetadata 0048e530
GetAdjustedSkillPoints 004d3cb0
GetAreaSpiritHealerTime 0048dee0
GetAuctionHouseDepositRate 004ce170
GetAuctionInvTypes 004cfab0
GetAuctionItemClasses 004cf970
GetAuctionItemInfo 004cee40
GetAuctionItemLink 004cf2f0
GetAuctionItemSubClasses 004cf9c0
GetAuctionItemTimeLeft 004cf470
GetAuctionSellItemInfo 004ce590
GetAvailableLevel 00501ba0
GetAvailableTitle 000000c0
GetBagName 004fa670
GetBankSlotCost 004f8630
GetBaseMip 00489280
GetBattlefieldEstimatedWaitTime 004ab790
GetBattlefieldFlagPosition 004ac230
GetBattlefieldInfo 004ab0b0
GetBattlefieldInstanceExpiration 004ab6d0
GetBattlefieldInstanceInfo 004ab1f0
GetBattlefieldInstanceRunTime 004ab730
GetBattlefieldMapIconScale 004ac3d0
GetBattlefieldPortExpiration 004ab620
GetBattlefieldPosition 004abf90
GetBattlefieldScore 004ab9d0
GetBattlefieldStatData 004abdc0
GetBattlefieldStatInfo 004abd00
GetBattlefieldStatus 004ab4a0
GetBattlefieldTimeWaited 004ab820
GetBattlefieldWinner 004abc40
GetBidderAuctionItems 004cecd0
GetBillingTimeRested 0048ec50
GetBinding 004b7f60
GetBindingAction 004b8120
GetBindingKey 004b80a0
GetBindLocation 0048dae0
GetBlockChance 00516f60
GetBonusBarOffset 004e7620
GetBuildInfo 004884a0
GetBuybackItemInfo 004fb310
GetChannelList 004a02d0
GetChannelName 004a05e0
GetChatTypeIndex 004a0a80
GetChatWindowChannels 004a0dc0
GetChatWindowInfo 004a0ba0
GetChatWindowMessages 004a0d20
GetCoinIcon 0048d4e0
GetComboPoints 0051a190
GetContainerItemCooldown 004f99b0
GetContainerItemInfo 004f9670
GetContainerItemLink 004f9930
GetContainerNumSlots 004f9560
GetCorpseMapPosition 004a86d0
GetCorpseRecoveryDelay 0048b5e0
GetCraftButtonToken 004f6c90
GetCraftDescription 004f7a90
GetCraftDisplaySkillLine 004f6cb0
GetCraftIcon 004f7160
GetCraftInfo 004f6e90
GetCraftItemLink 004f72a0
GetCraftName 004f6c10
GetCraftNumReagents 004f7420
GetCraftReagentInfo 004f74d0
GetCraftReagentItemLink 004f7730
GetCraftSelectionIndex 004f7130
GetCraftSkillLine 004f7210
GetCraftSpellFocus 004f78b0
GetCurrentBindingSet 004b8200
GetCurrentMapContinent 004a7ed0
GetCurrentMapZone 004a7f00
GetCurrentMultisampleFormat 0048c580
GetCurrentResolution 0048bf10
GetCursorMoney 0048ab70
GetCursorPosition 0048b820
GetCVar 00488ba0
GetCVarDefault 00488cf0
GetDamageBonusStat 0048b520
GetDebugStats 00488af0
GetDefaultLanguage 0049fcd0
GetDodgeChance 00516f00
GetDoodadAnim 00489060
GetFactionInfo 004d64f0
GetFarclip 00488f00
GetFirstTradeSkill 005001c0
GetFramerate 004893e0
GetFriendInfo 005ad060
GetGameTime 00515ee0
GetGamma 004891c0
GetGMStatus 0048cfc0
GetGMTicket 0048c9a0
GetGMTicketCategories 0048d8d0
GetGossipActiveQuests 004e29b0
GetGossipAvailableQuests 004e2930
GetGossipOptions 004e28d0
GetGossipText 004e28c0
GetGreetingText 00000030
GetGuildCharterCost 004f5230
GetGuildInfo 004c9330
GetGuildInfoText 004d2370
GetGuildRecruitmentMode 004a0040
GetGuildRosterInfo 004d1200
GetGuildRosterLastOnline 004d14a0
GetGuildRosterMOTD 004d11f0
GetGuildRosterSelection 004d1890
GetGuildRosterShowOffline 004d1e30
GetIgnoreName 005ad460
GetInboxHeaderInfo 004aebc0
GetInboxInvoiceInfo 004af360
GetInboxItem 004af5d0
GetInboxNumItems 004aeb90
GetInboxText 004af110
GetInspectHonorData 004c9620
GetInspectPVPRankProgress 0051ab00
GetInstanceBootTimeRemaining 0048b620
GetInventoryAlertStatus 004c94b0
GetInventoryItemBroken 004c8590
GetInventoryItemCooldown 004c8a60
GetInventoryItemCount 004c8680
GetInventoryItemLink 004c8c10
GetInventoryItemQuality 004c88d0
GetInventoryItemTexture 004c82a0
GetInventorySlotInfo 004c81b0
GetItemInfo 0048e070
GetItemQualityColor 0048dfb0
GetJackpotAmount 004c45d0
GetLanguageByIndex 0049fbe0
GetLastLotteryNumbers 004c4220
GetLFGResults 004e98c0
GetLFGTypeEntries 004e9aa0
GetLFGTypes 004e9a70
GetLocale 0048d8b0
GetLookingForGroup 004e95d0
GetLootMethod 004e91b0
GetLootRollItemInfo 004c3050
GetLootRollItemLink 004c31f0
GetLootRollTimeLeft 004c32d0
GetLootSlotInfo 004c2c60
GetLootSlotLink 004c2d20
GetLootThreshold 004e94e0
GetLotteryPrizeInfo 004c44e0
GetMacroIconInfo 00000030
GetMacroIndexByName 004f1b30
GetMacroInfo 004f1760
GetMapContinents 004a7ce0
GetMapInfo 004a7e30
GetMapLandmarkInfo 004a8740
GetMapOverlayInfo 004a8a00
GetMapZones 004a7d10
GetMasterLootCandidate 004c2f10
GetMeetingStoneStatusText 004ca5b0
GetMerchantItemInfo 004fb150
GetMerchantItemLink 004fb580
GetMerchantItemMaxStack 004fb670
GetMerchantNumItems 004fb130
GetMinigameState 004c4df0
GetMinigameType 004c4d50
GetMinimapZoneText 0048a100
GetMoney 00518160
GetMoneyPrizes 004c45f0
GetMouseFocus 0048df40
GetMultisampleFormats 0048c360
GetNetStats 0048b8b0
GetNextDrawTime 004c4630
GetNextStableSlotCost 004cb3d0
GetNumActiveQuests 000000a0
GetNumAddOns 0048e350
GetNumAuctionItems 004ced20
GetNumAvailableQuests 00000080
GetNumBankSlots 004f85b0
GetNumBattlefieldFlagPositions 004ac1c0
GetNumBattlefieldPositions 004abf00
GetNumBattlefields 004ab080
GetNumBattlefieldScores 004ab9a0
GetNumBattlefieldStats 004abcd0
GetNumBindings 004b7f40
GetNumBuybackItems 004fc160
GetNumCrafts 004f6e70
GetNumFactions 004d64c0
GetNumFrames 00705f00
GetNumFriends 005ad000
GetNumGuildMembers 004d1190
GetNumIgnores 005ad400
GetNumLaguages 0049fb30
GetNumLFGResults 004e9870
GetNumLootItems 004c2c30
GetNumLotteryPrizes 004c44b0
GetNumMacroIcons 004f19f0
GetNumMacros 004f1710
GetNumMapLandmarks 004a8710
GetNumMapOverlays 004a89d0
GetNumPackages 004ae430
GetNumPartyMembers 004e9050
GetNumPastDrawResults 004c4660
GetNumPetitionNames 004f44e0
GetNumQuestChoices 00501f00
GetNumQuestItems 00501f40
GetNumQuestLeaderBoards 004e0000
GetNumQuestLogChoices 004e0a70
GetNumQuestLogEntries 004df8b0
GetNumQuestLogRewards 004e09e0
GetNumQuestRewards 00501ec0
GetNumQuestWatches 004e1860
GetNumRaidMembers 004bb530
GetNumRoutes 004dced0
GetNumSavedInstances 004a18f0
GetNumShapeshiftForms 004b4590
GetNumSkillLines 004d35e0
GetNumSpellTabs 004b3cb0
GetNumStablePets 004cb1d0
GetNumStableSlots 004cb200
GetNumStationeries 004ae1f0
GetNumTalents 004f3160
GetNumTalentTabs 004f3010
GetNumTradeSkills 004fd800
GetNumTrainerServices 004d8d90
GetNumWhoResults 005ad690
GetNumWorldStateUI 004c5a40
GetObjectiveText 00000050
GetOwnerAuctionItems 004cec80
GetPackageInfo 004ae450
GetParryChance 00516fc0
GetPartyLeaderIndex 004e9100
GetPartyMember 004e9090
GetPastDrawResult 004c4690
GetPetActionCooldown 004bdfa0
GetPetActionInfo 004bdc50
GetPetActionsUsable 004be0b0
GetPetExperience 004be840
GetPetFoodTypes 004bea10
GetPetHappiness 004be900
GetPetIcon 004beb10
GetPetitionInfo 004f43d0
GetPetitionNameInfo 004f4510
GetPetLoyalty 004be700
GetPetTimeRemaining 004be600
GetPetTrainingPoints 004be790
GetPlayerBuff 004e45d0
GetPlayerBuffApplications 004e48b0
GetPlayerBuffDispelType 004e4800
