x=-582.56683350 y=-4256.50390625 z=37.86546707
x=-576.50250244 y=-4265.25390625 z=37.95490265
x=-570.12603760 y=-4272.71630859 z=37.92787170
x=-562.92706299 y=-4277.77636719 z=37.64508057
x=-556.05035400 y=-4279.61181641 z=37.91324615
x=-546.93151855 y=-4281.25537109 z=37.92328644
x=-538.51269531 y=-4281.14843750 z=38.82709122
x=-530.01617432 y=-4279.48632813 z=39.71821594
x=-522.78881836 y=-4277.05615234 z=41.17802048
x=-514.72259521 y=-4274.26171875 z=42.78329468
x=-505.01800537 y=-4270.49414063 z=43.98133087
x=-495.07745361 y=-4266.14843750 z=44.47947311
x=-484.80328369 y=-4263.43554688 z=44.89770508
x=-475.82617188 y=-4263.58203125 z=45.11378098
x=-472.01043701 y=-4267.40771484 z=45.69547272
x=-469.81753540 y=-4271.51953125 z=46.14086533
x=-471.61181641 y=-4279.75732422 z=45.49925232
x=-472.95227051 y=-4287.70605469 z=45.62869644
x=-476.99456787 y=-4297.55859375 z=45.56711960
x=-482.92559814 y=-4305.35937500 z=44.07463074
x=-490.19070435 y=-4309.88085938 z=43.06841278
x=-501.22958374 y=-4312.04443359 z=42.46479034
x=-516.99853516 y=-4310.98535156 z=38.80047607
x=-528.04888916 y=-4309.52539063 z=38.31430817
x=-537.86645508 y=-4305.77490234 z=38.34275055
x=-552.66986084 y=-4300.34228516 z=37.09110260
x=-561.12921143 y=-4296.63330078 z=38.04586792
x=-566.83520508 y=-4292.18603516 z=39.59017181
x=-574.91827393 y=-4282.45605469 z=38.25646210
